PORT_NAME,PORT_LAT,PORT_LON
"DULUTH, MN - SUPERIOR, WI",46.76,-92.1
"ASHLAND, WI",46.59,-90.89
"INTERNATIONAL FALLS-RANIER, MN",48.6,-93.39
"GRAND PORTAGE, MN",47.96,-89.68
"MILWAUKEE, WI",43,-87.89
"MARINETTE, WI",45.09,-87.59
"GREEN BAY, WI",44.49,-88.13
"MANITOWOC, WI",44.12,-87.68
"DETROIT, MI",42.33,-83.04
"PORT HURON, MI",42.97,-82.42
"SAULT STE MARIE, MI",46.5,-84.36
"SAGINAW-BAY CITY, MI",43.61,-83.88
"BATTLE CREEK, MI",42.33,-85.18
"GRAND RAPIDS, MI",42.88,-85.52
"DETROIT METROPOLITAN AIRPORT, MI",42.22,-83.36
"ALGONAC, MI",42.624,-82.525
"ESCANABA, MI",45.72,-87.09
"DETOUR CITY, MI",46,-83.9
"OAKLAND-PONTIAC AIRPORT, MI",42.66,-83.42
"WILLOW RUN AIRPORT, YPSILANTI, MI",42.23,-83.52
"CHICAGO, IL",41.86,-87.63
"PEORIA, IL",40.66,-89.69
"ROCKFORD AIRPORT, IL",42.2,-89.1
"CHICAGO MIDWAY INTERNATIONAL AIRPORT, IL",41.79,-87.75
"CHICAGO EXECUTIVE AIRPORT, IL (FORMALLY PAL-WAUKEE",42.11,-87.9
"CLEVELAND, OH",41.41,-81.85
"CINCINNATI-LAWRENCEBURG, OH",39.05,-84.66
"COLUMBUS, OH",40,-82.88
"DAYTON, OH",39.9,-84.23
"TOLEDO-SANDUSKY, OH",41.6,-83.8
"ERIE, PA",42.14,-80.07
"INDIANAPOLIS, IN",39.72,-86.3
"LOUISVILLE, KY",38.17,-85.73
"HURON, OH",41.39,-82.55
"KANSAS CITY, MO",39.3,-94.71
"ST. LOUIS, MO",38.75,-90.37
"WICHITA, KS",37.65,-97.43
"AGUADILLA, PR",18.49,-67.13
"PONCE, PR",18,-66.56
"SAN JUAN, PR",18.46,-66.11
"SAN JUAN INTERNATIONAL AIRPORT, PR",18.44,-66
"CHARLOTTE AMALIE, VI",18.34,-64.94
"CHRISTIANSTED, VI",17.75,-64.71
"MIAMI, FL",25.77,-80.19
"KEY WEST, FL",24.55,-81.755
"PORT EVERGLADES, FL",26.08,-80.12
"WEST PALM BEACH, FL",26.68,-80.05
"FORT PIERCE, FL",27.43,-80.33
"MIAMI INTERNATIONAL AIRPORT, FL",24.79,-80.28
"FT. LAUDERDALE INTERNATIONAL AIRPORT, FL",26.07,-80.15
"HOUSTON, TX",29.61,-95
"TEXAS CITY, TX",29.39,-94.89
"HOUSTON INTERCONTINENTAL AIRPORT, TX",30,-95.34
"GALVESTON, TX",29.31,-94.82
"FREEPORT, TX",28.91,-95.35
"CORPUS CHRISTI, TX",27.76,-97.44
"PORT LAVACA, TX",28.615,-96.62
"SUGAR LAND REGIONAL AIRPORT, TX",29.62,-95.66
"WASHINGTON, DC",38.95,-77.45
"DALLAS-FORT WORTH, TX",32.89,-97.035
"OKLAHOMA CITY, OK",35.39,-97.6
"TULSA, OK",36.2,-95.88
"AUSTIN, TX",30.19,-97.67
"SAN ANTONIO, TX",29.53,-98.47
"FORT WORTH ALLIANCE AIRPORT, TX",32.98,-97.31
"ADDISON AIRPORT, DALLAS, TX",32.97,-96.83
